UserID,Gender,Age,Race,Province,Channel2,RecordDate2,Duration 2
1999889,male,34,coloured,Western Cape,ICC Cricket World Cup 2011,2016/02/24 11:35,2025-09-24T00:03:48.000Z
1999889,male,34,coloured,Western Cape,Supersport Live Events,2016/02/16 16:06,2025-09-24T00:22:30.000Z
1999889,male,34,coloured,Western Cape,Supersport Live Events,2016/01/26 04:46,2025-09-24T00:01:50.000Z
1999889,male,34,coloured,Western Cape,Supersport Live Events,2016/01/26 04:49,2025-09-24T00:01:44.000Z
1999889,male,34,coloured,Western Cape,Break in transmission,2016/02/27 15:00,2025-09-24T00:00:15.000Z
1999889,male,34,coloured,Western Cape,Trace TV,2016/02/08 09:53,2025-09-24T00:02:48.000Z
2426231,male,32,indian_asian,Gauteng,ICC Cricket World Cup 2011,2016/03/11 10:18,2025-09-24T00:10:26.000Z
2426231,male,32,indian_asian,Gauteng,ICC Cricket World Cup 2011,2016/03/23 08:31,2025-09-24T00:07:32.000Z
2426231,male,32,indian_asian,Gauteng,ICC Cricket World Cup 2011,2016/03/23 08:44,2025-09-24T00:07:50.000Z
2426231,male,32,indian_asian,Gauteng,ICC Cricket World Cup 2011,2016/03/23 12:20,2025-09-24T00:02:02.000Z
2426231,male,32,indian_asian,Gauteng,CNN,2016/03/05 11:23,2025-09-24T00:00:14.000Z
2426231,male,32,indian_asian,Gauteng,kykNET,2016/03/05 22:31,2025-09-24T00:01:42.000Z
2426231,male,32,indian_asian,Gauteng,SuperSport Blitz,2016/03/26 08:29,2025-09-24T00:02:34.000Z
803869,male,43,None,Mpumalanga,Supersport Live Events,2016/03/08 17:36,2025-09-24T00:01:10.000Z
809323,female,35,coloured,Mpumalanga,Trace TV,2016/02/24 10:24,2025-09-24T00:00:39.000Z
809323,female,35,coloured,Mpumalanga,Trace TV,2016/02/04 10:18,2025-09-24T00:03:45.000Z
930443,female,47,indian_asian,Gauteng,Boomerang,2016/03/30 20:24,2025-09-24T00:00:13.000Z
894260,male,39,white,Western Cape,Boomerang,2016/03/17 16:32,2025-09-24T00:00:33.000Z
2203762,male,31,black,Mpumalanga,Trace TV,2016/02/16 14:57,2025-09-24T00:00:48.000Z
2203762,male,31,black,Mpumalanga,Supersport Live Events,2016/02/04 05:56,2025-09-24T00:01:04.000Z
2203762,male,31,black,Mpumalanga,Africa Magic,2016/01/24 19:08,2025-09-24T00:00:19.000Z
2203762,male,31,black,Mpumalanga,Supersport Live Events,2016/01/25 19:20,2025-09-24T00:00:00.000Z
2203762,male,31,black,Mpumalanga,CNN,2016/02/03 10:14,2025-09-24T00:01:16.000Z
2203762,male,31,black,Mpumalanga,Sawsee,2016/02/08 19:04,2025-09-24T00:00:48.000Z
789054,male,42,black,Western Cape,kykNET,2016/01/30 17:03,2025-09-24T00:14:51.000Z
789054,male,42,black,Western Cape,CNN,2016/02/08 22:27,2025-09-24T00:01:42.000Z
809362,male,36,black,Gauteng,E! Entertainment,2016/02/15 15:02,2025-09-24T00:07:52.000Z
809362,male,36,black,Gauteng,Africa Magic,2016/02/15 19:58,2025-09-24T00:00:00.000Z
